	certificateNumber	postcode	postTown	council	constituency	currentEnergyEfficiencyBand	registrationDate	uprn	schemaType	FullAddress
538	9673-1090-0776-0895-7621	HP10 9HE	HIGH WYCOMBE	Buckinghamshire	Beaconsfield	C	2015-07-24	100081167774.0	CEPC-7.0	BLOCK D Amersham & Wycombe College Spring Lane Flackwell Heath
572	9200-3965-0104-6010-1020	SL0 0DT	IVER	Buckinghamshire	Beaconsfield	E	2014-10-20	100081320629.0	CEPC-7.0	Iver Heath Infant School & Nursery Slough Road
581	0080-3928-0144-9410-4060	SL2 3AE	SLOUGH	Buckinghamshire	Beaconsfield	D	2014-08-07	10003425332.0	CEPC-7.0	Arbour Vale House Farnham Road Farnham Royal
590	0990-9980-0174-9520-9074	SL7 3AB	MARLOW	Buckinghamshire	Beaconsfield	C	2014-05-30	10092753410.0	CEPC-7.0	Thames Valley Police Police Station, Dean Street
591	9858-1014-0642-0100-4805	SL6 0ET	MAIDENHEAD	Buckinghamshire	Beaconsfield	C	2014-04-04	100081320676.0	CEPC-7.0	St. Nicholas C of E Combined School Rectory Road Taplow
595	0790-1948-0134-6050-3030	SL7 1RA	MARLOW	Buckinghamshire	Beaconsfield	E	2014-02-01	10004795788.0	CEPC-7.0	Buckinghamshire Fire & Rescue Service Fire Station, Parkway
596	0790-1992-0104-1040-1080	HP9 1EA	BEACONSFIELD	Buckinghamshire	Beaconsfield	D	2014-02-01	100081187982.0	CEPC-7.0	Buckinghamshire Fire & Rescue Service Fire Station, 2 Skelton Close
627	9738-1054-0878-0100-6991	SL7 1JW	MARLOW	Buckinghamshire	Beaconsfield	D	2013-04-25	100081277804.0	CEPC-7.0	Foxes Piece School Newfield Road
651	0210-5928-0132-3570-8044	SL2 3AW	SLOUGH	Buckinghamshire	Beaconsfield	D	2012-09-26	10003242086.0	CEPC-7.0	Farnham Royal C of E School Church Road Farnham Royal
659	0250-4964-0102-8540-2040	SL7 1AA	MARLOW	Buckinghamshire	Beaconsfield	D	2012-07-23	200000809656.0	CEPC-7.0	Royal Mail Marlow Delivery Office, Cromwell Gardens
661	0750-1902-0152-0090-4014	HP9 1ZZ	BEACONSFIELD	Buckinghamshire	Beaconsfield	G	2012-06-20	100081187442.0	CEPC-7.0	Royal Mail Beaconsfield Delivery Office, 13 Station Road
672	0940-1932-0172-1050-2030	SL0 9NW	IVER	Buckinghamshire	Beaconsfield	F	2012-04-10	100081261186.0	CEPC-7.0	Iver Village Infant School West Square
